ScientificName
Heterostegina depressa
Heterotentacula mirabilis
Hexapleomera robusta
Hexaplex trunculus
Hildenbrandia occidentalis
Himantura leoparda
Holacanthus africanus
Holacanthus ciliaris
Homarus americanus
Huso huso
Hydroides brachyacantha
Hydroides dianthus
Hydroides dirampha
Hydroides elegans
Hydroides ezoensis
Hydroides heterocera
Hypania invalida
Hypnea anastomosans
Hypnea cervicornis
Hypnea cornuta
Hypnea flagelliformis
Hypnea musciformis
Hypnea spinella
Hypnea valentiae
Hypoglossum heterocystideum
Hypophthalmichthys nobilis
Hypselodoris infucata
Ianiropsis serricaudis
Incisocalliope aestuarius
Indothais lacera
Ischadium recurvum
Ischyrocerus commensalis
Isognomon australicus
Isognomon legumen
Isognomon radiatus
Isolda pulchella
Ixa monodi
Jassa marmorata
Jassa slatteryi
Jasus lalandii
Jaydia queketti
Kapraunia schneideri
Karenia longicanalis
Karenia mikimotoi
Karenia papilionacea
Kirchenpaueria halecioides
Labyrinthula zosterae
Lagocephalus guentheri
Lagocephalus sceleratus
Lagocephalus suezensis
Lamprohaminoea ovalis
Laonice norgensis
Laonome triangularis
Laticorophium baconi
Latopilumnus malardi
Laurencia brongniartii
Laurencia caduciramulosa
Laurencia chondrioides
Laurencia dendroidea
Laurencia minuta
Laurencia okamurae
Leathesia marina
Leodice antennata
Leonnates persicus
Lepadogaster candolii
Lepidodinium chlorophorum
Lepidonotus carinulatus
Lepidonotus tenuisetosus
Lessardia elongata
Lienardia mighelsi
Ligia (Megaligia) exotica
Limnodrilus profundicola
Limnoria quadripunctata
Limnoria tripunctata
Limulus polyphemus
Linopherus canariensis
Lioberus ligneus
Lithognathus mormyrus
Lithophyllum yessoense
Littorina littorea
Littorina saxatilis
Lomentaria flaccida
Lomentaria hakodatensis
Lophurella stichidiosa
Lovenella assimilis
Luidia atlantidea
Lumbrinerides neogesae
Lumbrineris perkinsi
Lutjanus argentimaculatus
Lutjanus fulviflamma
Lutjanus jocu
Lutjanus sebae
Lyrodus pedicellatus
Lysidice collaris
Lysmata kempi
Macrocystis pyrifera
Macromedaeus voeltzkowii
Macrophthalmus (Macrophthalmus) indicus
Macrorhynchia philippina
Maeotias marginata
Magallana angulata
Magallana gigas
Magallana sikamea
Malleus regula
Mantoniella squamata
Marenzelleria arctia
Marenzelleria neglecta
Marenzelleria viridis
Marginella glabella
Marivagia stellata
Marphysa victori
Marteilia refringens
Martesia striata
Matuta victor
Megabalanus coccopoma
Megabalanus tintinnabulum
Melanella orientalis
Melanothamnus collabens
Melanothamnus harveyi
Melanothamnus japonicus
Melanothamnus sphaerocarpus
Melibe viridis
Melita nitida
Membranipora membranacea
Mercenaria mercenaria
Mesanthura romulea
Metacalanus acutioperculum
Metapenaeopsis aegyptia
Metapenaeus affinis
Metapenaeus monoceros
Microcosmus exasperatus
Microcosmus savignyi
Microcosmus squamiger
Microdeutopus similis
Micropogonias undulatus
Microporella coronata
Microprosthema inornatum
Mimosina affinis
Mitrella psilla
Mizuhopecten yessoensis
Mnemiopsis leidyi
Mnestia girardi
Moerisia inkermanica
Molgula manhattensis
Molgula occidentalis
Molgula plana
Monocorophium acherusicum
Monocorophium insidiosum
Monocorophium uenoi
Monotaxis grandoculis
Morone saxatilis
Mulinia lateralis
Mya arenaria
Myicola ostreae
Myra subgranulata
Myrianida convoluta
Mytilaster minimus
Mytilicola intestinalis
Mytilicola orientalis
Mytilopsis leucophaeata
Mytilus edulis
Mytilus galloprovincialis
Mytilus trossulus
Necora puber
Nemalion vermiculare
Nemipterus randalli
Nemopsis bachei
Neodexiospira brasiliensis
Neogobius melanostomus
Neoizziella divaricata
Neomysis americana
Neomysis integer
Nereis jacksoni
Nerita sanguinolenta
Nippoleucon hinumensis
Notocochlis gualteriana
Novafabricia infratorquata
Nudiscintilla glabra
Nybelinia africana
Obesogammarus crassus
Ocinebrellus inornatus
Oculina patagonica
Odontodactylus scyllarus
Oedalechilus labeo
Oithona davisae
Oncorhynchus gorbuscha
Oncorhynchus kisutch
Oncorhynchus mykiss
Operculina ammonoides
Ophiactis macrolepidota
Ophiactis savignyi
Ophioblennius atlanticus
Ophryotrocha diadema
Ophryotrocha japonica
Oplegnathus fasciatus
Oreochromis niloticus
Osmundea oederi
Ostorhinchus fasciatus
Ostrea angasi
Ostrea denselamellosa
Ostrea edulis
Ostrea equestris
Ostrea puelchana
Ostrea stentina
Oulastrea crispata
Ova canalifera
Oxytoxum criophilum
Oxyurichthys keiensis
Oxyurichthys petersii
Pachycerianthus multiplicatus
Pachycordyle michaeli
Pachygrapsus gracilis
Pachymeniopsis lanceolata
Pacificincola perforata
Padina boergesenii
Pagrus major
Pagurus longicarpus
Palaemon elegans
Palaemon longirostris
Palaemon macrodactylus
Palola valida
Pampus argenteus
Pandalosia subfirmata
Panulirus regius
Papenfussiella kuromo
Paracaprella pusilla
Paracerceis sculpta
Paradella dianae
Paradyte crinoidicola
Paraleucilla dalmatica
Paraleucilla magna
Paralithodes camtschaticus
Paranais frici
Paranthias furcifer
Paranthura japonica
Paraprionospio coora
Parasmittina alba
Parasmittina egyptiaca
