C - Biological characteristics - trophic guild	TrophicGuildPredSApexDem	Sub-apex demersal predators	31				y
C - Biological characteristics - trophic guild	TrophicGuildPredApex	Apex predators	32				y
D - Ecosystems	EcosysElemAll	All marine ecosystem elements	1				Y
D - Ecosystems	EcosystemFoodWeb	Ecosystem, including food webs	33				Y
D - Ecosystems	EcosysCoastal	Coastal ecosystem	34				Y
D - Ecosystems	EcosysShelf	Shelf ecosystem	35				Y
D - Ecosystems	EcosysOceanic	Oceanic/deep-sea ecosystem	36				Y
D - Ecosystems		MS-defined features	37	Y
E - Other features	AreaOfMerit	Habitats in areas meriting particular reference	1	Y
E - Other features	TypicalFeature	Typical features or characteristics	2	Y
A - Pressures - general	PresAll	All pressures	1				Y
A - Pressures - general	PresOther	Pressure - other	2	Y	Y
B - Biological	PresBioAll	All biological pressures	1	Biological disturbance (all)	Biological disturbance (all)		Y
B - Biological	PresBioIntroNIS	Input or spread of non-indigenous species	2	Introduction of non-indigenous species and translocations	Introduction of non-indigenous species and translocations		Y
B - Biological	PresBioIntroMicroPath	Input of microbial pathogens	3	Introduction of microbial pathogens	Introduction of microbial pathogens		Y
B - Biological	PresBioIntroGenModSpp	Input of genetically modified species and translocation of native species	4	Genetically distinct forms of native species inventory	Genetically distinct forms of native species inventory		Y
B - Biological	PresBioCultHab	Loss of, or change to, natural biological communities due to cultivation of animal or plant species	5	-	-		Y
B - Biological	PresBioDisturbSpp	Disturbance of species (e.g. where they breed, rest and feed) due to human presence	6	-	-		Y
B - Biological	PresBioExtractSpp	Extraction of, or mortality/injury to, wild species (by commercial and recreational fishing and other activities)	7	Selective extraction of species, including non-target catches (all)	Selective extraction of species, including non-target catches (all)		Y
B - Biological	PresBioExtractSpp	Extraction of, or mortality/injury to, wild species (by commercial and recreational fishing and other activities)	7	Extraction of species: fish & shellfish	Extraction of species: fish & shellfish		y
B - Biological	PresBioExtractSpp	Extraction of, or mortality/injury to, wild species (by commercial and recreational fishing and other activities)	7	Extraction of species: maerl extraction	Extraction of species: maerl extraction		y
B - Biological	PresBioExtractSpp	Extraction of, or mortality/injury to, wild species (by commercial and recreational fishing and other activities)	7	Extraction of species: seaweed harvesting	Extraction of species: seaweed harvesting		y
B - Biological	PresBioExtractSpp	Extraction of, or mortality/injury to, wild species (by commercial and recreational fishing and other activities)	7	Extraction of species: other	Extraction of species: other		y
C - Physical	PresPhyAll	All physical pressures	1				Y
C - Physical	PresPhyDisturbSeabed	Physical disturbance to seabed	2	Physical damage (all)	Physical damage (all)		y
C - Physical	PresPhyDisturbSeabed	Physical disturbance to seabed	2	Physical damage (abrasion)	Physical damage (abrasion)		y
C - Physical	PresPhyDisturbSeabed	Physical disturbance to seabed	2	Physical damage (changes in siltation)	Physical damage (changes in siltation)		y
C - Physical	PresPhyDisturbSeabed	Physical disturbance to seabed	2	Physical damage (selective extraction)	Physical damage (selective extraction)		y
C - Physical	PresPhyDisturbSeabed	Physical disturbance to seabed	2	Physical disturbance (other)	Physical disturbance (other)		y
C - Physical	PresPhyLoss	Physical loss of the seabed	3	Physical loss (all)	Physical loss (all)		y
C - Physical	PresPhyLoss	Physical loss of the seabed	3	Physical loss (sealing)	Physical loss (sealing)		y
C - Physical	PresPhyLoss	Physical loss of the seabed	3	Physical loss (smothering)	Physical loss (smothering)		y
C - Physical	PresPhyHydroCond	Changes to hydrological conditions	4	Interference with hydrological processes (all)	Interference with hydrological processes (all)		y
C - Physical	PresPhyHydroCond	Changes to hydrological conditions	4	Changes in salinity regime	Changes in salinity regime		y
C - Physical	PresPhyHydroCond	Changes to hydrological conditions	4	Changes in thermal regime	Changes in thermal regime		y
D - Substances, litter and energy	PresInputAll	All pressures related to inputs of substances, litter and energy	1				Y
D - Substances, litter and energy	PresInputNut	Input of nutrients – diffuse sources, point sources, atmospheric deposition	2	Nutrient and organic matter enrichment (all)	Nutrient and organic matter enrichment (all)		y
D - Substances, litter and energy	PresInputNut	Input of nutrients – diffuse sources, point sources, atmospheric deposition	2	Inputs of fertilisers and other N- and P-rich substances	Inputs of fertilisers and other N- and P-rich substances		y
D - Substances, litter and energy	PresInputOrg	Input of organic matter – diffuse sources and point sources	3	Inputs of organic matter	Inputs of organic matter		y
D - Substances, litter and energy	PresInputCont	Input of other substances (e.g. synthetic substances, non-synthetic substances, radionuclides) – diffuse sources, point sources, atmospheric deposition, acute events	4	Contamination by hazardous substances (all)	Contamination by hazardous substances (all)		y
D - Substances, litter and energy	PresInputCont	Input of other substances (e.g. synthetic substances, non-synthetic substances, radionuclides) – diffuse sources, point sources, atmospheric deposition, acute events	4	Introduction of non-synthetic substances & compounds	Introduction of non-synthetic substances & compounds		y
D - Substances, litter and energy	PresInputCont	Input of other substances (e.g. synthetic substances, non-synthetic substances, radionuclides) – diffuse sources, point sources, atmospheric deposition, acute events	4	Introduction of synthetic compounds	Introduction of synthetic compounds		y
D - Substances, litter and energy	PresInputCont	Input of other substances (e.g. synthetic substances, non-synthetic substances, radionuclides) – diffuse sources, point sources, atmospheric deposition, acute events	4	Introduction of radio-nuclides	Introduction of radio-nuclides		y
D - Substances, litter and energy	PresInputCont	Input of other substances (e.g. synthetic substances, non-synthetic substances, radionuclides) – diffuse sources, point sources, atmospheric deposition, acute events	4	Systematic/intentional release of substances	Systematic/intentional release of substances		y
D - Substances, litter and energy	PresInputCont	Input of other substances (e.g. synthetic substances, non-synthetic substances, radionuclides) – diffuse sources, point sources, atmospheric deposition, acute events	4	Acute pollution events			Y
D - Substances, litter and energy	PresInputLitter	Input of litter (solid waste matter, including micro-sized litter)	5	Marine litter	Marine litter		y
D - Substances, litter and energy	PresInputSound	Input of anthropogenic sound (impulsive, continuous)	6	Underwater noise	Underwater noise		y
D - Substances, litter and energy	PresInputOthEnergy	Input of other forms of energy (including electromagnetic fields, light and heat)	7	-	-		y
D - Substances, litter and energy	PresInputWater	Input of water – point sources (e.g. brine)	8	-	-		y
E - Other	PressureOther	Pressure - other	1	Y
E - Other	Unknown	Unknown	2				Y
A - Biological	PresEnvNISnew	Newly-introduced non-indigenous species	1				Y
A - Biological	PresEnvNISestablished	Established non-indigenous species	2				Y
B - Physical and hydrological	PresEnvPhyDist	Physical disturbance to seabed	1				Y
B - Physical and hydrological	PresEnvPhyLoss	Physical loss of the seabed	2				Y
B - Physical and hydrological	PresEnvHydroChanges	Hydrographical changes	3				Y
C - Substances, litter and energy	PresEnvEutrophi	Eutrophication	1				Y
C - Substances, litter and energy	PresEnvContNonUPBTs	Contaminants - non-UPBT substances	2				Y
C - Substances, litter and energy	PresEnvContUPBTs	Contaminants - UPBT substances	3				Y
C - Substances, litter and energy	PresEnvContSeafood	Contaminants - in seafood	4				Y
C - Substances, litter and energy	PresEnvAcuPolluEvents	Acute pollution events	5	Y	Y		y
C - Substances, litter and energy	PreEnvLitter	Litter [macro]	6				Y
C - Substances, litter and energy	PresEnvLitterMicro	Micro-litter	7				Y
C - Substances, litter and energy	PresEnvLitterSpp	Litter & micro-litter in species	8				Y
C - Substances, litter and energy	PresEnvSoundImpulsive	Impulsive sound in water	9				Y
C - Substances, litter and energy	PresEnvSoundContinuous	Continuous low-frequency sound	10				Y
C - Substances, litter and energy	Acidification	Marine acidification	11	Y	Y		y
D - Hazardous substances	SynthComp	Synthetic compounds	1	Y
D - Hazardous substances	NonSynthSubst	Non-synthetic substances and compounds	2	Y
D - Hazardous substances	RadioNuclides	Radio-nuclides	3	Y
D - Hazardous substances	WorksheetHazsubstanceslist	Worksheet HazSubstancesList contains relevant substances and CAS numbers	4	Y
E - Macro-litter	Artpoly	Artificial polymer materials	1				Y
E - Macro-litter	Rubber	Rubber	2				Y
E - Macro-litter	Textile	Cloth/textile	3				Y
E - Macro-litter	Paper	Paper/cardboard	4				Y
E - Macro-litter	Wood	Processed/worked wood	5				Y
E - Macro-litter	Metal	Metal	6				Y
E - Macro-litter	Glass	Glass/ceramics	7				Y
E - Macro-litter	Chem	Chemicals	8				Y
E - Macro-litter	Food	Food waste	9				Y
E - Macro-litter	Undef	Undefined	10				Y
F - Micro-litter	ArtPoly	Artificial polymer materials	11				Y
F - Micro-litter	Other	Other materials	12				Y
A - Ecosystem services - all	EcosysServAll	All ecosystem services	1				Y
B - Nutrition - biomass	EcosysServNutrAll	All ecosystem services relevant for nutrition	2	Nutrition			Y
B - Nutrition - biomass	EcosysServNutrSeafoodAlgae	Wild plants, algae and their outputs	3	Nutrition			Y
B - Nutrition - biomass	EcosysServNutrSeafoodAnimals	Wild animals and their outputs	4	Nutrition			Y
B - Nutrition - biomass	EcosysServNutrAquacAlgae	Algal seafood from in-situ aquaculture	5	Nutrition			Y
B - Nutrition - biomass	EcosysServNutrAquacAnimals	Animals from in-situ aquaculture	6	Nutrition			Y
C - Materials - biomass	EcosysServMatAll	 All ecosystem services relevant for provision of materials	7	Materials			Y
C - Materials - biomass	EcosysServMatRaw	Fibres and other materials from plants, algae and animals for direct use or processing	8	Materials			Y
C - Materials - biomass	EcosysServMatAlgaeAnimalsForAquac	Materials from plants, algae and animals for agricultural use	9	Materials			Y
C - Materials - biomass	EcosysServMatGenetic	Genetic materials from all biota	10	Materials			Y
D - Energy - Biomass-based energy sources	EcosysServEnerAll	All ecosystem services relevant for provision of energy	11	Energy			Y
D - Energy - Biomass-based energy sources	EcosysServEnerPlants	Plant-based resources	12	Energy			Y
D - Energy - Biomass-based energy sources	EcosysServEnerAnimals	Animal-based resources	13	Energy			Y
E - Mediation of waste, toxics and other nuisances	EcosysServWasteAll	All ecosystem services relevant for mediation of waste, toxics and other nuisances	14	Regulation of wastes			Y
F - Mediation of waste, toxics and other nuisances - Mediation by biota	EcosysServWasteTreatment	Bio-remediation by micro-organisms, algae, plants, and animals	15	Regulation of wastes			Y
F - Mediation of waste, toxics and other nuisances - Mediation by biota	EcosysServWasteRemovalByOrgan	Filtration/sequestration/storage/accumulation by micro-organisms, algae, plants, and animals	16	Regulation of wastes			Y
F - Mediation of waste, toxics and other nuisances - Mediation by biota	EcosysServWasteRemovalByEcosys	Filtration/sequestration/storage/accumulation by ecosystems	17	Regulation of wastes			Y
F - Mediation of waste, toxics and other nuisances - Mediation by biota	EcosysServWasteSmellVisImpacts	Mediation of smell/visual impacts	18	Regulation of wastes			Y
G - Mediation of flows	EcosysServFlowsAll	All ecosystem services relevant for mediation of flows	19	Flow regulation			Y
H - Mediation of flows - Mass flows	EcosysServFlowsErosionPrev1	Mass stabilisation and control of erosion rates	20	Flow regulation			Y
H - Mediation of flows - Mass flows	EcosysServFlowsErosionPrev2	Buffering and attenuation of mass flows	21	Flow regulation			Y
I - Mediation of flows - Liquid flows	EcosysServFlowsFloodProt	Flood protection	22	Flow regulation			Y
J - Mediation of flows - Gaseous / air flows	EcosysServFlowsOxygenProd	Ventilation and transpiration	23	Flow regulation			Y
K - Maintenance of physical, chemical, biological conditions	EcosysServMainCondAll	All ecosystem services relevant for maintenance of physical, chemical and biological conditions	24	Regulation of physical environment			Y
L - Maintenance of physical, chemical, biological conditions - Lifecycle maintenance, habitat and gene pool protection	EcosysServMainCondPolli	Pollination and seed dispersal	25	Regulation of biotic environment			Y
L - Maintenance of physical, chemical, biological conditions - Lifecycle maintenance, habitat and gene pool protection	EcosysServMainCondNurs	Maintaining Nursery Populations and Habitats 	26	Regulation of biotic environment			Y
L - Maintenance of physical, chemical, biological conditions - Lifecycle maintenance, habitat and gene pool protection	EcosysServMainCondGene	Gene pool protection	27	Regulation of biotic environment			Y
M - Maintenance of physical, chemical, biological conditions - Pest and disease control	EcosysServMainCondPest	Pest control	28	Regulation of biotic environment			Y
M - Maintenance of physical, chemical, biological conditions - Pest and disease control	EcosysServMainCondDis	Disease control	29	Regulation of biotic environment			Y
N - Maintenance of physical, chemical, biological conditions - Soil formation and composition	EcosysServMainCondDeco	Decomposition and fixing processes	30	Regulation of biotic environment			Y
