CodeCatalogue,Sector,Use or activity,Measure name,Status,Origin of the measure,Nature of the measure,Water body category,Spatial scope,Country,Measure Impacts to,Measure Impacts to (further details) ,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
MSFD17,Ports and Traffic,Not specified,Preventive measures against the invasion of alien species in marine waters,"Adopted, not implemented 1b",MSFD (Directive 2008/56/EC),not specified,Other,National,Bulgaria,Not specified,,0,1,0,0,0,0,0,0,0,0,0
MSFD18,Ports,Not specified,Disposal of dredging material in designated areas in the Black Sea,not specified,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,1,0,0,0,0
MSFD19,Ports,Not specified,"Providing equipment to remove pollution in port areas of water locally (skimming people were pushing, etc.)",not specified,MSFD (Directive 2008/56/EC),technical measure,Coastal,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD20,Ports and Traffic,Not specified,Control over the activities of transmission and transportation of oily waste,not specified,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD21,Traffic,Not specified,"Control over the collection and transportation of ship and ship waste (litter), including wastewater",not specified,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,0,0,1,0
MSFD22,Ports and Traffic,Not specified,"Implementation of good practices regarding the handling and disposal of waste, including waste from ships",not specified,MSFD (Directive 2008/56/EC),"administrative, technical measure",Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,0,0,1,0
MSFD23,Traffic,Not specified,Controls to prevent air pollution from ships (sulphur content of marine fuels),not specified,MSFD (Directive 2008/56/EC),technical measure,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD24,Traffic,Not specified,Controls to prevent air pollution from ships (greenhouse gases and ozone depleting substances),not specified,MSFD (Directive 2008/56/EC),technical measure,Other,National,Bulgaria,Not specified,,0,0,0,0,1,0,0,1,0,0,0
MSFD25,Traffic,Not specified,Controls to prevent contamination by organotin compounds from marine antifouling systems,"Adopted, not implemented 1b",MSFD (Directive 2008/56/EC),technical measure,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD26,Traffic,Not specified,Controls to limit entry and spread of pathogens and invasive alien marine species carried by ships' ballast water,"Adopted, not implemented 1b",MSFD (Directive 2008/56/EC),technical measure,Other,National,Bulgaria,Not specified,,0,1,0,0,0,0,0,0,0,0,0
