"CodeCatalogue","Country","Country","Measure Number","Measure name","Use or activity","Link to existing policies","KTMs it links to","Relevant targets","Descriptors it links to ","Relevant features from MSFD Annex III","Measure Impacts to","Spatial  scope_MSFD","Water body category","Spatial scope","Other (if applicable)","Origin of the measure","Nature of the measure","PORTS","SHIPPING","BOTH","Sector","accident management","administrative","air pollution","anchoring/mooring","awareness raising","ballast waters","construction","dredging","EU policies","hull fouling","international agreements","legislation/regulation","maintenence","marine litter","navigation","NIS","noise","pollution","regional sea convention","PSSA/ZMES","technical measures","waste management","water pollution","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TEST",1,"1b (not related to WFD)","1b (related to WFD)",2,"2a","2b","unknown","TEST","Status Resume","Status (Text)"
"MSFD21","BG","Bulgaria","BLKBG-M017-E","Control over the collection and transportation of ship and ship waste (litter), including wastewater","Not specified",,"MSFD29 Litter
MSFD31 Contamination","10.1.1
10.1.2","D10",,"Not specified","Terrestrial part of Bulgaria, 
Coastal waters (WFD)","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD22","BG","Bulgaria","BLKBG-M018-E","Implementation of good practices regarding the handling and disposal of waste, including waste from ships","Not specified",,"MSFD29 Litter","10.1.1","D10",,"Not specified","Terrestrial part of Bulgaria","Other","National",,"MSFD (Directive 2008/56/EC)","administrative, technical measure",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD23","BG","Bulgaria","BLKBG-M021-E","Controls to prevent air pollution from ships (sulphur content of marine fuels)","Not specified",,"MSFD31 Contamination","Target 8.1, indicator 8.1.1 and 8.2.1","D8",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD24","BG","Bulgaria","BLKBG-M022-E","Controls to prevent air pollution from ships (greenhouse gases and ozone depleting substances)","Not specified",,"MSFD31 Contamination
MSFD33 Nutrient enrichment ","Target 8.1, indicator 8.1.1 and 8.2.1","D5, D8 ",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD25","BG","Bulgaria","BLKBG-M023-E","Controls to prevent contamination by organotin compounds from marine antifouling systems","Not specified",,"MSFD31 Contamination","Target 8.1, indicator 8.1.1 and 8.2.1","D8",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD26","BG","Bulgaria","BLKBG-M024-E","Controls to limit entry and spread of pathogens and invasive alien marine species carried by ships' ballast water","Not specified",,"MSFD34 Non-indigenous species","Target 2.1, indicator 2.1.1
Target 2.2, indicator 2.2.1","D2",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD27","BG","Bulgaria","BLKBG-M025-E","Satellite monitoring of oil pollution from ships and offshore installations (through the European system CleanSeaNet)","Not specified",,"MSFD31 Contamination
MSFD32 Accidental pollution ","Target 8.1, indicator 8.1.1 and 8.2.1","D8",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD28","BG","Bulgaria","BLKBG-M046-E","Development and implementation of instructions and measures to prevent pollution of the waters from loading - unloading activities","Not specified",,"MSFD29 Litter
MSFD31 Contamination
MSFD32 Accidental pollution","Not specified","D8, D10",,"Not specified","Coastal waters (WFD)","Coastal","National",,"MSFD (Directive 2008/56/EC)","administrative, technical measure",1,0,0,"Ports",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD29","BG","Bulgaria","BLKBG-M048-E","Making the control of pollution from ships carrying harmful substances in packaged form","Not specified",,"MSFD29 Litter
MSFD31 Contamination","Target 8.1, indicators 8.1.1 and 8.2.2
10.1.1
10.1.2","D8, D10",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD30","BG","Bulgaria","BLKBG-M049-E","Making the control of pollution from ships carrying liquid substances in bulk","Not specified",,"MSFD31 Contamination","Target 8.1, indicators 8.1.1 and 8.2.2","D8",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
